State,Unemp Rate,Max Weeks of Benefits,Max.Weekly Benefits,Max. DA Allowance,Total Weekly Benefits
Alaska,7.1,26,$370 ,$72 ,$442 
Alabama,4.1,26,$265 ,,$265 
Arkansas,3.8,20,$451 ,,$451 
Arizona,4.7,26,$240 ,,$240 
California,4.2,26,$450 ,,$450 
Colorado,2.7,26,$597 ,,$597 
Connecticut,4.4,26,$631 ,$75 ,$706 
Dist of Columbia,5.6,26,$425 ,,$425 
Delaware,3.9,26,$330 ,,$330 
Florida,3.8,12,$275 ,,$275 
Georgia,4.1,14,$330 ,,$330 
Hawaii,2.1,26,$630 ,,$630 
Iowa,2.7,26,$573 ,$104 ,$677 
Idaho,2.9,21,$405 ,,$405 
Illinois,4.3,26,$648 ,$170 ,"$1,495 "
Indiana,3.3,26,$390 ,,$390 
Kansas,3.4,16,$474 ,,$474 
Kentucky,4.2,26,$502 ,,$502 
Louisiana,4.7,26,$247 ,,$247 
Massachusetts,3.5,30,$795 ,$384 ,"$1,179 "
Maryland,4.3,26,$430 ,,$430 
Maine,2.9,26,$646 ,$209 ,$855 
Michigan,4.5,20,$362 ,,$362 
Minnesota,3.1,26,$717 ,,$717 
Missouri,3.5,13,$320 ,,$320 
Mississippi,4.7,26,$235 ,,$235 
Montana,3.8,28,$487 ,,$487 
North Carolina,4.2,12,$350 ,,$350 
North Dakota,2.6,26,$595 ,,$595 
Nebraska,2.7,26,$426 ,,$426 
New Hampshire,2.7,26,$427 ,,$427 
New Jersey,4.9,26,$696 ,,$696 
New Mexico,4.9,26,$442 ,$50 ,$492 
Nevada,4.7,26,$407 ,,$407 
New York,4.5,26,$435 ,,$435 
Ohio,4.5,26,$598 ,$155 ,$753 
Oklahoma,3.9,26,$520 ,,$520 
Oregon,4,26,$538 ,,$538 
Pennsylvania,4.3,26,$561 ,$8 ,$569 
Rhode Island,4.3,26,$566 ,$141 ,$707 
South Carolina,3.8,20,$326 ,,$326 
South Dakota,3.2,26,$352 ,,$352 
Tennessee,3.5,26,$275 ,,$275 
Texas,4,26,$507 ,,$507 
Utah,3,26,$543 ,,$543 
Virginia,3.2,26,$387 ,,$387 
Vermont,2.8,26,$466 ,,$466 
Washington,4.7,26,$749 ,,$749 
Wisconsin,2.9,26,$363 ,,$363 
West Virginia,5.3,26,$424 ,,$424 
Wyoming,3.7,26,$489 ,,$489 
